combo,train_langs,system,metric,language,value
en_te,English+Telugu,A_pipeline,e2e_span_overlap_f1,English,0.6809
en_te,English+Telugu,A_pipeline,e2e_span_overlap_f1,Hindi,0.4125
en_te,English+Telugu,A_pipeline,e2e_span_overlap_f1,Indonesian,0.5955
en_te,English+Telugu,A_pipeline,e2e_span_overlap_f1,Spanish,0.5525
en_te,English+Telugu,A_pipeline,e2e_span_overlap_f1,Telugu,0.7054
en_te,English+Telugu,A_pipeline,e2e_span_overlap_f1,Overall,0.6021
en_te,English+Telugu,A_pipeline,joint_accuracy,Overall,0.6318
en_te,English+Telugu,E_joint,joint_f1,English,0.8338
en_te,English+Telugu,E_joint,joint_f1,Spanish,0.7323
en_te,English+Telugu,E_joint,joint_f1,Hindi,0.6771
en_te,English+Telugu,E_joint,joint_f1,Telugu,0.7529
en_te,English+Telugu,E_joint,joint_f1,Overall,0.7542
en_te,English+Telugu,E_joint,joint_f1_macro_avg,Overall,0.749
en_te,English+Telugu,E_joint,classification_macro_f1,English,0.8378
en_te,English+Telugu,E_joint,classification_macro_f1,Hindi,0.7085
en_te,English+Telugu,E_joint,classification_macro_f1,Indonesian,0.7784
en_te,English+Telugu,E_joint,classification_macro_f1,Spanish,0.7519
en_te,English+Telugu,E_joint,classification_macro_f1,Telugu,0.7529
en_te,English+Telugu,E_joint,classification_macro_f1,Overall,0.7813
en_te,English+Telugu,E_joint,e2e_span_overlap_f1,English,0.7263
en_te,English+Telugu,E_joint,e2e_span_overlap_f1,Hindi,0.5902
en_te,English+Telugu,E_joint,e2e_span_overlap_f1,Indonesian,0.6042
en_te,English+Telugu,E_joint,e2e_span_overlap_f1,Spanish,0.6716
